,0
435,"B: Sir
B: Now I thought you have finished
B: Can I ask one question
A: Go ahead Mr Chiam
A: Go ahead
B: Just one one one question only
A: Yes go ahead"
436,"B: Now I thought you have finished
B: Can I ask one question
A: Go ahead Mr Chiam
A: Go ahead
B: Just one one one question only
A: Yes go ahead
B: Uh I would ask the Minister assuming that the school under all conditions are similar and in one school you have got a class size of twenty five another school with a class size of sixty which school would you send your child to <X>"
437,"A: Go ahead Mr Chiam
A: Go ahead
B: Just one one one question only
A: Yes go ahead
B: Uh I would ask the Minister assuming that the school under all conditions are similar and in one school you have got a class size of twenty five another school with a class size of sixty which school would you send your child to <X>
F: Uh may I just uh supplement uh what uh my Minister of State Senior Minister of State has said uhm answer to Mr Chiam's question I understand it's his favourite question and it's uh something worth debating Now in in looking at the education system we have a tendency in Singapore to look towards the west US UK and so on and some of the opposition leaders uh members might have been teachers before so they had certain philosophies built into them If you have been following the press uh in UK for example recently they have come up with a new study you know the Education Secretaries' come up with new study to show that in fact they were for many years for generations influenced so much by this so-called Powden Report which says you should never teach a child you should let him discover by himself you know you should not even have prop uh uh structured learning and so on As a result of this the education system in UK has been blighted for generations and now they're trying to recover So you must see this in perspective if you want to study and try and improve the education system We must also compare the situation in nuh Japan the situation in nuh Korea Taiwan and so on And as a let me finish first let me finish first as has been mentioned by uh Dr Tay in fact the class size in Japan and Taiwan are forty fifty and even above In Singapore's case our class size standard size is forty Some schools have less In fact the average figure for secondary schools is about thirty six pupils per class Now those schools that are less popular tend to have smaller classes the popular ones tend to have big classes sometimes as big as forty four and the results are better uh So it is not so much the class size alone Let's not over-emphasise this point If you want to uh reduce class size for example you go from forty to twenty as uh advocated by Mr Chiam you will have to increase number of teachers by two Instead of twenty thousand teachers you need to have forty thousand teachers Where do we find the number of teachers And what is the value of so doing I mean if you teach in front of a class of uh twenty or class of forty what's the difference You're teaching right Of course if you want to have a interactive method then it's better to have a smaller class size But you must remember that sometimes when you interact with the pupils in fact you may be spending more time with one pupil at the expense of the whole class and that is the problem that's been discovered in the western system The problem also with the western system is that the children tend to be very undisciplined While the teacher is teaching the class would be you know playing basketball behind or something Our situation is very different Our pupils are very disciplined and they want to learn and their parents want them to learn So we've discovered that in fact with a class size of forty we are doing very well and we should be proud of the results that we've achieving year after year I think we compare very well with international standards and personally I'm amazed at number of students who score straight As in 'O' levels uh 'A' levels and so on </X> </I>"
438,"A: H J Ministry of Community Development Amendment number one
A: We have twenty five minutes Mr Abdullah Tarmugi
B: Sir I beg to move that the total sum to be allocated for H J of the main estimates be reduced by one hundred dollars
B: Mr Chairman Sir in any country there will be families and individuals whose standard of living fall below others because of their low incomes
B: In Singapore Sir we do not see the crippling poverty that exists in some countries"
439,"C: Other talent be it academic arts I believe has been looked after reasonably well and this is not the case for sports
C: Sir if we want our standard to improve then I believe something should be done
C: Not everything should be done by the government but I believe government can lead the way and this can be strongly followed by the private sector
C: Sir when Ang Peng Siong wins a gold medal it brings joy and pride to all Singaporeans especially when the Majulah Singapura is played
C: When Fandi scores a goal fifty thousand Singaporeans roar in ecstasy
C: For all these what do they get
C: Ang Peng Siong now works in a club and advertises for Fab"
440,"A: Sir I would like to know the minister's views in these areas
B: Mr Yeo
C: Thank you Mr Speaker Sir
C: Sir both Mr Abdullah Tarmugi and uh Dr Michael Lim have raised questions on the disabled
C: Sir the government's policy towards the uh disabled is to help them to live independently so as in order
C: sorry is to enable them to live independently as far as it's compatible with their capabilities
C: This would enable them to look after themselves as to lessen the burden on the family"
441,"C: And would be of great help to disabled to the uh disabled
C: Sir historically the voluntary sector has been in the forefront of provision of services for the disabled
C: They have done extremely well and should be con should be encouraged to continue to do so
C: We will assist them as far as possible to provide improved and expanded [ah] programs
C: Now through the concerted efforts of both government and the VWOs a wide range of services and facilities have already been implemented
C: This include special education vocational training and rehabilitation vocational assessment and job placement production at sheltered workshops day-care hostels and residential care
C: Mr Tarmugi has asked in terms of what are we providing to the uh to the disabled"
442,"C: The Bees Link Centre as I mentioned has the uh job placement centre
C: The centre has already placed out two hundred and twenty seven uh disabled people in uh various companies
C: There're also other schemes for example uh the there's a scheme whereby employers who are taking in disabled people are helped through a subsidy that's provided by uh that's provided by the Singapore Chinese Chamber of Commerce and Industry
C: Under this scheme employers who employ disabled [ah] can have the first one and a half months salary of the disabled paid through a fund which is provided by the Chamber
C: Uh so this this way it allows the employers who are who have never had the experience of employing disabled to take in disabled for a trial period
C: And they're assured that for the first one and a half months the salaries are borne by this fund
C: We also provide tax incentives to employers who make work site modifications in order to accommodate the uh disabled"
443,"C: I think I've I've replied to most of his points under the under the disabled
C: Sir I move on to the aged population
C: Both Mr Tarmugi and Dr Michael Lim have also have spoken on the aged <X>
C: Sir the aged is an issue which should concern all of us that is because our aged population will increase very significantly Today only nine percent of our population are aged above sixty By the by the year twenty thirty about one in four of our population would be above the age of sixty and one there'll be one aged to two persons in the working age group of fifteen to sixteen So I think this is a problem which is of uh which will have great significance uh and great and and uh many implications for society in Singapore Now what is heartening and important to note is that fortunately most elderly are actually healthy Our studies show that about ninety three percent of elderly are fit active and healthy Only five percent are frail and about two percent are bed-ridden Sir because of the large number of elderly that we'll be having in the uh future the responsibility for caring for the aged falls on all of us everyone the family the community the government and the aged themselves Sir in lloking after the aged we must preserve the family as the best social insurance for its members because by the year twenty twenty thirty even if we want to we won't be able to find enough economically active people to lookj after the aged because the numbers the number of the uh aged will be so great Sir the family setting allows the aged to grow old graciously in familiar surroundings and therefore help them to maintain their self-worth and dignity The our programs are therefore directed towards helping them to live within the community Sir Mr Tarmugi has asked in terms of caring for the aged sick and poor what is the amount of health uh what are we doing in terms of providing health facilities and uh in terms of helping us to meet the needs of the elderly what sort of institutional what sort what are we doing in terms of providing inti in uh insitutional care and in terms of helping them to live within the com the community Sir our programs which are aimed at helping the aged to live within the the uh families and the community are aimed at promoting self-help or mutual help because for every frail elderly there'll be at least twenty fit and healthy elderly So whilst we have very few working people to help look after the elderly in the future we must not forget we'll have a large number of very fit and healthy uh older person who should then participate in helping to look after themselves Sir the success of our programs to help the aged depends on uh how the public perceives and perceives the aged in the process of aging and how they accept the aged I think there's a tendency to perceive the aged as being sickly dependent and decrepit We must change such an sttitude if we are going to be able to encourage more members of the public to come forward to participate in uh providing assistance to the uh to the elderly So what the gov the government is doing is that we are having a annual public awareness and public educaiton program on the aged in order to enhance the level of awareness of the population Now the highlight of this program is is our Senior Citizens' Day and uh I'm glad to say that the program has been quite successful because the level of participation in our Senior Citizens' Day's program at both the national and the constituency level are have been increasing Sir in terms of for the aged relief alone my family run uh my Ministry runs a befriender service scheme which helps to recruit volunteers and matches them to the Senior citizens The volunteers befriend advise and assist the aged to cope with their daily demands of living within the community because it is important for us to encourage and to assist the elderly to live within the community and to only be uh obtaining institutional care as a matter of last reort In line with that we also have the uh Home Nursing Foundation assisted by the Ministry of Health which provides a home nursing service and trains members in the care of their aged dependents WE also provide uh screening and medical counselling in such centres Sir the Singapore Action Group of Elders uh also has established a hot-line and counselling service for the aged and uh they are able to provide advice counselling and referral uh services for the elderly who are who are who require such services Mr Speaker: Mr Yeo we are running out of time on this amendment Mr Yeo Cheow Tong: Okay Yes Sir Mr Speaker: You you Mr Yeo Cheow Tong: Sir so in terms of helping them to live within the community we have a lot of programs In terms of institutional care we will also be there're there're already adequate nursing homes and uh other facilities uh we will be helping the VWOs increase the number of uh places in the homes to meet the requirements for the for the coming yeasr by funding eighty percent of the cost of these new facilities In terms of uh recurring expenses we will also be helping them Sir we we will therefore be making sure that we have enough institutional uh facilities uh to to help look after those who require institutional care Sir let me move on to uh the issue of public assistance Sir the public assistance scheme is meant to help the financially distressed to regain their independence It's not meant as an unemployment retirement or disability allowance Sir we grant uh allowances to the aged destitues the disabled and the chronically sick the orphans and the widows Sir the the scheme has to be stringent I know members are not very comfortable with or some members are not comfortable with that but our scheme has to be stringent in order to encourage the able body to re to uh rely on themselves and not to rely on the dole Sir if we don't that don't do that then I think we 're heading down the slippery road to uh disaster On no one in Singapore is denied the opportunity to apply for PA Sir but whilst we open the door for all to apply I think we must be careful to ensure that whilst we have a soft heart we don't have a soft head because as Dr Lim has mentioned some members in his constituencies feel shy about applying They feel that it's a shameful thing to do Sir I think it's not at all a bad emotion because if they are if they feel that it is degrading to apply and therefore they re they are able to rely on their own other mechanisms as well as to rely on other organizations to help them I think it's a it's a very good thing We should Dr Michael Lim: Speaker Sir can I just clarify Well uh my point is that uh they've actually applied and uh they have uh actually been interviewed and have been accepted for the scheme but uh because of the following the interview they felt that it was as if they were begging and therefore they declined their assistance and came to us for assistance but our assistance is limited Mr Yeo: But they've gone ahead to apply and they have been interviewed then why have they withdrawn the application Sir the the key thing is now the key thing is we want to be sure that only those who are genuinely in need and who are unable to find other forms of assistance apply for PA assistance That must be the basis and for those who have applied they we must subject them to some interviewing to ensure these are the genuine cases I think there's no other way Sir for us to sort out the genuine from the non-genuine But i can assure uh members that the interviews are done very professionally they're non-threatening they're in no way meant to embarrass the applicants and also the data and information gathered are treated very confidentially Sir when I'm when I uh went into MCD I made sure that all rejections were seen by me to ensure that the rejections were valid I'm glad to say that in all rejections in in all rejection cases while I was in MCD and before that the uh rejections were valid because the applicants really upon investigation were found that they have either adequate savings of their own or they were actually being supported by their families by their children relatives So all the cases were rejected on good grounds Sir Mr Speaker: Mr Yeo Mr Yeo: Sir but nonetheless Mr Speaker: Would you like to wind up your answer Mr Yeo: Okay Sir what uh what we want to stress is that the PA scheme is adequate we do review the rates we do ensure that the the uh PA allowances are adequate to ensure that the PA recipients are able to survive and more moreover more importantly we also on top of the PA scheme are able to draw on other resources to help the uh recipients Dr Michael LIm: Uh Speaker Sir can I just add one last statement Uh it appears it appears that my twenty nine year old uh housewife with three children will not find solace in your answer uh perhaps uh Minister before he just ends would like to make a comment about the proposal I made with regards to the widowed woman with the children Mr Yeo: Sir I'm not familiar with his twenty nine year old uh widow the case of the twenty nine year old widow if he feels that the the uh widow has got good grounds he shoudl as MP write in to reappeal and I'm sure my my my [ah] offi officials would uh reconsider In terms of his uh his suggestion that we we channel the PA grants through the CCCs Sir I'm that in the first place that his CCC uh was able to provide some help I think that's a right way to go The the payment of the PA allowance through the POSB is a very convenient one It imposes no inconvenience on the recipients Mr Speaker: Mr Yeo I think you've answered Mr Dr Lim already Mr Tarmugi Is member given leave to withdraw his amendment Amendment withdrawn </X> </I>"
444,"B: Oh
A: And if the wife goes they only have two rooms
B: Oh <unclear> word </unclear>
A: So I think no [lah] too many people around
B: I'm not even going to impose on my auntie
A: So how uh
A: I copy here uh"
445,"A: So how uh
A: I copy here uh
B: Uh
A: Aiyah what a waste
A: Ya lah here
B: Do we have to keep on talking
B: Oh dear"
446,"A: I copy here uh
B: Uh
A: Aiyah what a waste
A: Ya [lah] here
B: Do we have to keep on talking
B: Oh dear
A: No"
447,"A: Just in case right
B: For emergency cases
B: Ya
B: Because there're no embassies around [lah]
A: Uhm I don't know why I put a six in front you know
A: I think it was because when I tried to
A: When I called internet that means from Singapore uh I need not I need not dial the six I think so"
448,"A: Mine less you know
B: Thirtieth thirty first okay two two two
A: Twenty six uh mine's twenty eight too
B: Same [lah] because you're using at same same airlines
A: No because I reversed
A: Remember I told you
A: If I fly to Athens first"
449,"A: So I have to go to Germany first then come back again to Amsterdam
B: Oh my gosh
B: Why
A: So I don't know [lah]
A: I don't know whether I should
B: I think it's a waste of travelling time Beng
A: So you see I'm doing all the night night train"
450,"A: So you see I'm doing all the night night train
B: Ya 'A' but even with the night train already some of our hours with the night train
B: We're already squeezing out the time
A: That's it [lah]
A: That's why
A: Don't know lah
B: <unclear> word </unclear> twelve hours twelve hours"
451,"B: We're already squeezing out the time
A: That's it lah
A: That's why
A: Don't know [lah]
B: <unclear> word </unclear> twelve hours twelve hours
B: That's a lot of travelling time what
A: Okay forgiven lah <unclear> word </unclear>"
452,"A: Don't know lah
B: <unclear> word </unclear> twelve hours twelve hours
B: That's a lot of travelling time what
A: Okay forgiven [lah] <unclear> word </unclear>
B: <unclear> word </unclear> and payment
B: They Peck Hoon wants to carry all cash you know
A: Uhm"
453,"B: Oh
A: I went back the second night to eat dessert
A: So I got they don't want
A: So my the other friend [lah]
A: The other one loved the potato struddle
B: Did you go to Halbrune
B: When you were in Salzburg uh"
454,"A: Enough
A: Don't need any more castles
B: Okay
A: Ya [lah]
A: After some time they all look the same
A: So gaudy so gaudy Uh rococo or the ice-cream cake topping
B: All of them meh"
455,"A: Ya lah
A: After some time they all look the same
A: So gaudy so gaudy Uh rococo or the ice-cream cake topping
B: All of them [meh]
A: No then baroque <unclear> word </unclear>
A: No lah
A: Don't want"
456,"A: So gaudy so gaudy Uh rococo or the ice-cream cake topping
B: All of them meh
A: No then baroque <unclear> word </unclear>
A: No [lah]
A: Don't want
A: Maybe you all want to go
A: So you're going to the salt mine uh"
457,"B: Ya so on this day we go down to the Heartburst
B: It's Queens day on the last day of April
B: And then we'll go on to Salzaburg because actually <unclear> word </unclear> they wanted another day to go to Belgiuhm
B: Then I thought don't want nah
B: I want to go to this place
A: Why
A: Oh so you're not"
458,"A: Belvedere is nice because of the painting
B: Ha
A: This is nice because of the gardens
B: Ya [lah]
B: That's why we have to split it and see it twice
B: What I mean to see through the whole thing
A: Uhm"
459,"A: Ya I went in
B: To see all those
A: and usually you have to queue up
B: Ah
A: So you try to go in as early as possible
B: Okay
A: You're going to join a conducted tour uh this one"
460,"A: Which one is the one that I have the A to Z
B: Indiana
A: Ya so each one of them is supposed to have a number
A: So you see a number you make your A to Z [lah]
A: You want
A: Don't buy
A: I have one"
461,"B: Whoa
A: Near near midnight you know to <unclear> word </unclear>
B: One whole day
A: Just overnight [lah]
B: Ya it's a whole day
B: You arrive there what time
B: Twelve hours"
462,"B: Ya
B: So you have about two hours to one hour to catch
A: Ya but I don't trust the Italian trains
B: So a little earlier [lah] say <unclear> word </unclear> reach there about five o'clock
A: So I still have to stay overnight at Milan right
B: Uh </I>"
463,"B: Now could the Minister comment this issue and let us know what advantage our liberal air policy has on air carriers in Singapore and also on the country as a whole
B: Sir I beg to move
A: The question is that the sum to be allocated for H I to be reduced by ten dollars in respect of Code 1 A fifteen hundred of the main estimates
A: Mr Mah
A: Sorry Mr Harun Ghani
A: You can take both cuts
C: Okay thank you"
464,"C: For those who do not have CPF saving this is the time for them to start saving and learn to be for the future and old age
C: Sir my hope my hope is that if Telecom want to reap large profit through privatization and increase capital expenditure on high technology and equipment the burden of bearing the high cost should not be shifted to consumers only
C: Thank you Sir
A: Mr Mah
D: Mr Chairman Sir Mr Charles Chong asked why we are so obsessed with always being the best in the world
D: Sir it is my fervent belief that we must maintain this obsession and I use the word obsession without apology
D: Sir maintaining a number one position for us is not an end in itself but a means to an end"
465,"B: Yes I believe so
A: By that time would it be fair to say that you would have been holding the position of Registrar in that department if you got acquainted with neuro surgery eighty two
B: I was trainee in neuro surgery at that time
A: Doctor Balaji did you come across the first Plaintiff Jeya wife of Akkaiah whilst she was admitted to the neurosurgical unit of the Tan Tock Seng Hospital on eighteenth October nineteen eighty four
B: I do not recollect looking after this patient at that time
B: and looking at the record I do not see my involvement in her management at any time at that time
A: So the only occasion on which you saw the first Plaintiff was on the twentieth of August nineteen ninety for the purpose of making this report at page nineteen of the bundle"
466,"B: It was diluted by the well by the workers when I was there
B: That is stated in my report
A: Where does it say
B: It said diluted with plat top thinners on clean acrylic boards with the help of Mister Lee Ah Yong of Comsign and his technicians
A: In other words these paints samples were diluted
B: In front of me during my presence
A: By Comsign officers"
467,"A: Can you explain this
B: What really we meant in this report was we saw the cracks
B: Okay this is on a applied surface and this is a unapplied surface and now you read the cracks from this end from the unapplied surface and you can see the cracks you can see the cracks
B: If you like we have to like to show to the Lord <X>
B: Chief Justice: These are the cobweb-like cracks </X>
B: Yes Yes that's how the
B: So by these observations we could not confirm that whether the acrylic surface has whether these cracks only on the paint itself or whether it has eaten into the acrylic surface"
468,"A: B A R A T H A M
B: That's correct
A: You are a neurosurgeon by profession
B: That's correct, my Lord
A: Can you tell the Court some time in nineteen eighty-one which hospital were you attached
B: I was attached to Tan Tock Seng General Hospital my Lord
A: Perhaps you will tell the Court for how long a period were you with Tan Tock Seng"
469,"A: You are a neurosurgeon by profession
B: That's correct, my Lord
A: Can you tell the Court some time in nineteen eighty-one which hospital were you attached
B: I was attached to Tan Tock Seng General Hospital my Lord
A: Perhaps you will tell the Court for how long a period were you with Tan Tock Seng
B: I was with Tan Tock Seng Hospital neuro surgical department from the time the department was opened in nineteen seventy-three
A: Until"
470,"A: What type of sickness or injuries
B: We treat haemorrhages tumours and especially injuries affecting the brain
A: Do you know of another branch of doctor known as neurologist
B: Yes my Lord
B: I know
A: What do a neurologist does
B: They treat non-surgical conditions of the nervous system"
471,"A: I see
A: So you confirm doctor that you examined this patient and you found that there is a bruising on his brain
A: Is that correct
B: That is correct my Lord
A: Now how severe was this injury
B: It was sufficient to cause changes on the C T scan which were of a temporary nature
B: But not sufficient to cause bleeding inside the brain my Lord"
472,"B: That is correct my Lord
A: Now how severe was this injury
B: It was sufficient to cause changes on the C T scan which were of a temporary nature
B: But not sufficient to cause bleeding inside the brain my Lord
A: Now may I refer you to the second report which you made on the eighteenth of May eighty-two
A: You mention here that he was found to have some problem of co-ordination
A: Now what type of problem would you classify that as"
473,"A: He had some problem of co-ordination
A: How severe and what characteristic would these problems of co-ordination would be
B: He would have difficulty in performing a number of sequential actions that is moving in an ordered sequence learnt movement
B: My Lord the technical word for this is dyspraxia D Y S P R A X I A which means
A: Now in this report you also mentioned that the C T scan did not show any blood clot inside the skull
A: Now this was done in nineteen eighty-two
B: No"
474,"B: I want to distinguish between a contusion and a hemorrhage
A: Just to reconfirm that I got what you have said
A: At the time of the accident you examined him and there was a contusion in the brain
B: I examined the C T scan my Lord
A: Ya that is right
B: That showed the contusion
A: Correct"
475,"B: The patient had symptoms of a contusion
A: How long will this contusion last
A: I mean does it stay on forever
B: The appearance my Lord on the x-ray on the C T scan would be obvious for a week few weeks or few months
B: Just like a bruise it would disappear but the effects on the brain may last for a considerably longer period
A: Now I refer you to the last report which is sixth of September eighty-three
A: In paragraph two you have reported that you have examined him on the seventh of August nineteen eighty-three and that he was found to have in-co-ordination of the right side of his body"
476,"A: Now I refer you to the last report which is sixth of September eighty-three
A: In paragraph two you have reported that you have examined him on the seventh of August nineteen eighty-three and that he was found to have in-co-ordination of the right side of his body
A: Now can you tell the Court more about what in-co-ordination that you found
B: We test for in-co-ordination my Lord in a very standard way
B: We ask a person to touch your finger and touch his nose and move up and down or to do a series of concerted actions like imitating playing the piano or picking up objects
B: And by observing him do this we can notice any problems with movement
A: In your opinion doctor do you know whether such injury would be permanent"
477,"B: And by observing him do this we can notice any problems with movement
A: In your opinion doctor do you know whether such injury would be permanent
A: The in-co-ordination
B: It was present my Lord for more than two years after the accident
B: And I would therefore assume that it would permanent
A: From this injury to his brain doctor would you say that there would be any side effect like for instance loss of memory headaches relapses
B: He could have mental problems but by his own testimony my Lord he did not complain of headaches and said he was otherwise normal"
478,"B: It was present my Lord for more than two years after the accident
B: And I would therefore assume that it would permanent
A: From this injury to his brain doctor would you say that there would be any side effect like for instance loss of memory headaches relapses
B: He could have mental problems but by his own testimony my Lord he did not complain of headaches and said he was otherwise normal
B: This is on my examination in August eighty-three
A: I see
A: You also mentioned in the last paragraph that because of his impairment he will be unable to do his job as a welder"
479,"A: I see
A: You also mentioned in the last paragraph that because of his impairment he will be unable to do his job as a welder
A: Is that correct
B: That is correct my Lord
B: It's in my report
A: I have no more further questions Sir
C: Doctor Baratham when he was first admitted to the hospital on the twenty-seventh of April nineteen eighty-one the x-ray showed a mere contusion"
480,"A: I have no more further questions Sir
C: Doctor Baratham when he was first admitted to the hospital on the twenty-seventh of April nineteen eighty-one the x-ray showed a mere contusion
C: Is that not right or is that not right
B: The brain scans show the contusion my Lord
B: I don't know about mere or it showed a bruising on the surface of the brain
C: Oh I see
C: So and he was not hospitalised"
481,"C: Oh I see
C: So and he was not hospitalised
C: Was he discharged immediately on the same day
B: No I am certain my Lord he was hospitalised
C: For how long
B: I do not have a record of that not available
A: Sir with your leave"
482,"C: I mean was there any in co-ordination in this hand
C: Or what was he suffering from while he was warded
C: Or is it just a brain contusion
B: My Lord I do not recall what my observations were when he was warded because I would have been in charge of a very large number of cases
B: And my own observations for each individual case would not have been made
B: My Lord I would have supervised his treatment rather than be in charge of his day-to-day treatment
C: Doctor your medical report is brief"
483,"C: Or is it just a brain contusion
B: My Lord I do not recall what my observations were when he was warded because I would have been in charge of a very large number of cases
B: And my own observations for each individual case would not have been made
B: My Lord I would have supervised his treatment rather than be in charge of his day-to-day treatment
C: Doctor your medical report is brief
C: It merely states that he had a bruising of the brain and nothing else
B: That is correct"
484,"C: That's at page two of the Plaintiff's bundle of documents
C: And your second medical report doctor you again merely refer to the original x ray taken on the twenty-seventh of April nineteen eighty-one
C: So there was no further examination as such
B: There was no further x ray examination my Lord
B: No correct
C: And this report merely states that he was last seen as an outpatient on ninth September eighty-one when he had some problems of co-ordination
C: He was not seen by you is that not doctor"
485,"C: He was seen by some other doctor on that date as an outpatient
B: Yes he may not have been seen by me when I
C: So you wouldn't be able to assist this Court as to what his problems of co-ordination were on that date
B: Not on this date no my Lord
C: Now on your third report doctor
C: On your third report you say he was reassessed for the purpose of this report on seventeenth August eighty-three
C: At that time he was found to have in-co-ordination of the right side of his body"
486,"C: Does this report refer to the earlier findings of in- co-ordination rather than on that date
B: It refers to my own assessment of him in August eighty-three
B: The in-co-ordination refers to the situation in August nineteen eighty-three
B: My Lord I alter that to at the time at the time
B: The second sentence in paragraph two should read at the time
B: It's at that time
B: I think this is a typographical error or a dictation error or it should be at the time"
487,"B: It's at that time
B: I think this is a typographical error or a dictation error or it should be at the time
B: At the time of this report on the time of this examination on the seventeenth August nineteen eighty-three
B: My Lord I am sorry for the ambiguity
B: This is the third report my Lord
C: See Doctor Baratham you seem to have in your report accepted this man's word rather than gone on your own observation because your paragraph there
C: It says prior to this accident this man was a welder"
488,"B: I think this is a typographical error or a dictation error or it should be at the time
B: At the time of this report on the time of this examination on the seventeenth August nineteen eighty-three
B: My Lord I am sorry for the ambiguity
B: This is the third report my Lord
C: See Doctor Baratham you seem to have in your report accepted this man's word rather than gone on your own observation because your paragraph there
C: It says prior to this accident this man was a welder
C: He was tested by the foreman of his firm and his co-ordination was found to be inadequate for a job of a welder"
489,"C: He was tested by the foreman of his firm and his co-ordination was found to be inadequate for a job of a welder
C: This is what he seems to have told you
C: This is not something you found out from the foreman of his firm
B: My Lord I was not in communication with the foreman of the firm
B: He told me this
C: He told you this
B: But his in-co-ordination was something I tested for and observed myself"
490,"B: He told me this
C: He told you this
B: But his in-co-ordination was something I tested for and observed myself
B: I did not my Lord feel competent to decide whether his in- co-ordination made it impossible for him to be a welder
B: I thought that was better left to his foreman
C: So you were not
B: I couldn't tell this my Lord"
491,"B: I did not my Lord feel competent to decide whether his in- co-ordination made it impossible for him to be a welder
B: I thought that was better left to his foreman
C: So you were not
B: I couldn't tell this my Lord
B: I could tell his in-co-ordination
B: I couldn't say whether he could do a job as a welder
B: I am unfamiliar with welding"
492,"C: So that is exactly the point doctor
C: That you are unable to say whether he can work as a welder or not
B: I am unable to say this
B: It is impossible for me to decide that my Lord
C: Next you say in your report that he only had a moderate head injury
C: What do you mean by that
B: That is correct my Lord"
493,"B: It is impossible for me to decide that my Lord
C: Next you say in your report that he only had a moderate head injury
C: What do you mean by that
B: That is correct my Lord
B: We classify head injuries into mild concussions moderate injuries
B: Where we have some clear cut evidence of permanent brain damage and severe head injuries when the brain damage and severe head injuries is such that the person can be totally incapacitated </I>"
494,"B: And of course as results keep coming in then one becomes slowly certain why she was vague etceteras
A: Did you observe doctor that if you asked a leading question she would easily answer yes
B: No no
A: For example if you ask her are you living at Telok Blangah
A: The answer would be yes
B: No not true
A: How was your questions put to her"
495,"A: What did she complain of
B: She complained of headaches her head bursting giddiness a lot of symptoms in relation to the head
A: And did you conduct any test for her memory
B: Yes my psychologist did the Graham Kendall's Memory for Design Test which showed eleven which is borderline up to about twenty-five is considered borderline
B: I think roundabout seven is considered borderline
B: So she I would say she get quite a high score
B: The lower the score the normal it is"
496,"A: You are Sergeant three zero two Saw Eng Hock
B: Yes my Lord
A: SAW ENG HOCK
B: Yes my Lord
A: You are attached to the Traffic Accidents Investigation Section"
497,"A: You are Sergeant three zero two Saw Eng Hock
B: Yes my Lord
A: SAW ENG HOCK
B: Yes my Lord
A: You are attached to the Traffic Accidents Investigation Section
B: Uhm
A: All right"
498,"A: Where are you attached now
B: I am now attached to Marine Police
A: On twenty-eighth of July nineteen eighty-three were you attached to the Accident Investigation Section
B: Yes my Lord
A: Were you informed of an accident involving a motor pick-up at Jalan Ahmad Ibrahim in front of Singapore Textile Industries Limited
B: May I refer to my investigation paper my Lord
A: Yes"
499,"B: I am now attached to Marine Police
A: On twenty-eighth of July nineteen eighty-three were you attached to the Accident Investigation Section
B: Yes my Lord
A: Were you informed of an accident involving a motor pick-up at Jalan Ahmad Ibrahim in front of Singapore Textile Industries Limited
B: May I refer to my investigation paper my Lord
A: Yes
B: That is true my Lord"
500,"A: On twenty-eighth of July nineteen eighty-three were you attached to the Accident Investigation Section
B: Yes my Lord
A: Were you informed of an accident involving a motor pick-up at Jalan Ahmad Ibrahim in front of Singapore Textile Industries Limited
B: May I refer to my investigation paper my Lord
A: Yes
B: That is true my Lord
A: What time did you receive the information"
501,"A: Were you informed of an accident involving a motor pick-up at Jalan Ahmad Ibrahim in front of Singapore Textile Industries Limited
B: May I refer to my investigation paper my Lord
A: Yes
B: That is true my Lord
A: What time did you receive the information
B: Seven nineteen in the morning
A: Did you go to the scene"
502,"A: What time did you receive the information
B: Seven nineteen in the morning
A: Did you go to the scene
B: Yes my Lord
A: What time did you arrived at the scene
B: I arrived at the scene eight twenty-five in the morning my Lord
A: After inspecting the scene did you prepare a sketch plan"
503,"A: Did you go to the scene
B: Yes my Lord
A: What time did you arrived at the scene
B: I arrived at the scene eight twenty-five in the morning my Lord
A: After inspecting the scene did you prepare a sketch plan
B: Yes my Lord
A: Look at page five of this bundle"
504,"A: What time did you arrived at the scene
B: I arrived at the scene eight twenty-five in the morning my Lord
A: After inspecting the scene did you prepare a sketch plan
B: Yes my Lord
A: Look at page five of this bundle
A: That is your sketch plan and the next page is the key to the plan
B: Yes my Lord"
505,"B: Yes my Lord
A: Look at page five of this bundle
A: That is your sketch plan and the next page is the key to the plan
B: Yes my Lord
A: Page four
A: Page four yes
A: I think they put it in my bundle they put it"
506,"A: I think it's due to an oversight I think
A: In my bundle it comes to the next page
A: Opposite to that page is the key on the left-hand side
B: Yes my Lord
A: And the damage to the vehicle involved is at page six
B: Yes my Lord
A: Do you agree it is a straight stretch of road"
507,"A: Opposite to that page is the key on the left-hand side
B: Yes my Lord
A: And the damage to the vehicle involved is at page six
B: Yes my Lord
A: Do you agree it is a straight stretch of road
B: Yes my Lord
A: And there were no brake marks"
508,"A: And the damage to the vehicle involved is at page six
B: Yes my Lord
A: Do you agree it is a straight stretch of road
B: Yes my Lord
A: And there were no brake marks
B: Yes my Lord
A: And you found only the scratch marks as will be seen from F one to C"
509,"A: Do you agree it is a straight stretch of road
B: Yes my Lord
A: And there were no brake marks
B: Yes my Lord
A: And you found only the scratch marks as will be seen from F one to C
B: Yes my Lord
A: The two scratch marks"
510,"A: And there were no brake marks
B: Yes my Lord
A: And you found only the scratch marks as will be seen from F one to C
B: Yes my Lord
A: The two scratch marks
A: And did you find any evidence of this vehicle hitting the road divider or a tree on the road divider
B: No my Lord"
